IP地址,数据中心,地区,城市,网络延迟
172.65.90.46,RUH,Middle East,Riyadh,6 ms
172.65.90.58,SJC,North America,San Jose,6 ms
172.65.90.29,SIN,Asia Pacific,Singapore,6 ms
172.65.90.30,SIN,Asia Pacific,Singapore,6 ms
172.65.90.9,BOM,Asia Pacific,Mumbai,6 ms
172.65.90.67,BKK,Asia Pacific,Bangkok,6 ms
172.65.90.17,LHR,Europe,London,7 ms
172.65.90.56,KUL,Asia Pacific,Kuala Lumpur,7 ms
172.65.90.34,ICN,Asia Pacific,Seoul,7 ms
172.65.90.61,TPA,North America,Tampa,7 ms
172.65.90.1,PER,Oceania,Perth,7 ms
172.65.90.32,ICN,Asia Pacific,Seoul,7 ms
172.65.90.51,TPE,Asia Pacific,Taipei,7 ms
172.65.90.5,YYZ,North America,Toronto,7 ms
172.65.90.37,SJC,North America,San Jose,7 ms
172.65.90.47,RUH,Middle East,Riyadh,7 ms
172.65.90.63,DFW,North America,Dallas,7 ms
172.65.90.52,SJC,North America,San Jose,7 ms
172.65.90.33,ICN,Asia Pacific,Seoul,7 ms
172.65.90.60,TPA,North America,Tampa,7 ms
172.65.90.44,DME,Europe,Moscow,7 ms
172.65.90.35,ICN,Asia Pacific,Seoul,7 ms
172.65.90.66,BKK,Asia Pacific,Bangkok,7 ms
172.65.90.53,SJC,North America,San Jose,7 ms
172.65.90.69,BKK,Asia Pacific,Bangkok,7 ms
172.65.90.0,PER,Oceania,Perth,7 ms
172.65.90.8,BOM,Asia Pacific,Mumbai,7 ms
172.65.90.31,SIN,Asia Pacific,Singapore,7 ms
172.65.90.2,PER,Oceania,Perth,7 ms
172.65.90.45,DME,Europe,Moscow,7 ms
172.65.90.21,SJC,North America,San Jose,7 ms
172.65.90.38,SJC,North America,San Jose,7 ms
172.65.90.6,YUL,North America,Montréal,7 ms
172.65.90.23,SJC,North America,San Jose,7 ms
172.65.90.26,SJC,North America,San Jose,7 ms
172.65.90.19,LHR,Europe,London,7 ms
172.65.90.25,SJC,North America,San Jose,7 ms
172.65.90.43,HKG,Asia Pacific,Hong Kong,7 ms
172.65.90.59,SJC,North America,San Jose,7 ms
172.65.90.10,BOM,Asia Pacific,Mumbai,7 ms
172.65.90.62,DFW,North America,Dallas,7 ms
172.65.90.16,LHR,Europe,London,7 ms
172.65.90.3,PER,Oceania,Perth,7 ms
172.65.90.12,NRT,Asia Pacific,Tokyo,7 ms
172.65.90.18,LHR,Europe,London,8 ms
172.65.90.4,YYZ,North America,Toronto,8 ms
172.65.90.14,NRT,Asia Pacific,Tokyo,8 ms
172.65.90.24,SJC,North America,San Jose,8 ms
172.65.90.27,SJC,North America,San Jose,8 ms
172.65.90.48,CPT,Africa,Cape Town,8 ms
172.65.90.39,SJC,North America,San Jose,8 ms
172.65.90.7,YYZ,North America,Toronto,8 ms
172.65.90.64,BKK,Asia Pacific,Bangkok,8 ms
172.65.90.55,SIN,Asia Pacific,Singapore,8 ms
172.65.90.22,SJC,North America,San Jose,8 ms
172.65.90.28,SIN,Asia Pacific,Singapore,8 ms
172.65.90.20,SJC,North America,San Jose,8 ms
172.65.90.13,NRT,Asia Pacific,Tokyo,8 ms
172.65.90.11,BOM,Asia Pacific,Mumbai,8 ms
172.65.90.50,TPE,Asia Pacific,Taipei,9 ms
172.65.90.57,KUL,Asia Pacific,Kuala Lumpur,9 ms
172.65.90.68,BKK,Asia Pacific,Bangkok,9 ms
172.65.90.65,BKK,Asia Pacific,Bangkok,9 ms
172.65.90.15,NRT,Asia Pacific,Tokyo,9 ms
172.65.90.42,HKG,Asia Pacific,Hong Kong,10 ms
172.65.90.54,SIN,Asia Pacific,Singapore,11 ms
172.65.90.36,SJC,North America,San Jose,13 ms
